653,571,1154,693
651,578,1145,699
629,575,1117,699
619,539,1089,686
584,512,990,624
609,540,1021,648
564,509,1068,630
516,539,1051,662
647,488,1202,611
1058,414,1645,557
1095,490,1675,640
1097,563,1737,727
1002,680,1635,830
558,668,1140,793
572,642,1086,762
602,568,1038,683
622,537,1013,630
579,544,960,629
570,532,951,619
1106,458,1516,557
1121,465,1542,562
1137,478,1575,578
1134,634,1604,755
1107,694,1566,812
1051,688,1507,804
546,707,993,793
534,678,976,778
553,568,957,660
584,439,955,529
623,426,998,522
609,440,989,532
632,434,1017,529
933,393,1321,478
978,391,1380,473
969,478,1401,576
979,547,1489,673
920,562,1352,657
835,493,1185,573
782,437,1106,508
761,439,1062,506
754,424,1047,488
480,434,784,494
457,424,767,496
450,375,755,440
454,380,761,445
1099,352,1431,432
1126,375,1462,460
1175,526,1504,612
1172,599,1503,678
1154,627,1483,711
672,694,990,766
833,516,1114,594
854,485,1117,544
853,517,1089,565
847,509,1083,562
857,499,1110,562
845,524,1150,594
855,586,1199,675
557,598,916,686
558,598,909,680
571,589,913,663
554,544,902,622
526,439,879,522
547,422,903,503
945,319,1292,401
988,331,1347,411
1023,485,1372,565
1027,635,1371,717
999,662,1352,747
1027,647,1379,732
1093,648,1444,739
1054,560,1403,644
