734,378,1081,893
733,386,1072,881
753,380,1088,883
765,353,1102,860
758,350,1090,875
788,281,1140,791
624,168,1038,780
653,206,1092,862
838,196,1282,832
881,170,1352,868
775,55,1327,865
788,99,1386,976
858,150,1478,996
914,52,1525,876
929,95,1413,814
913,93,1361,745
910,99,1323,683
788,132,1179,721
670,170,1050,745
684,167,1072,737
494,198,891,750
488,152,868,698
478,157,854,691
563,155,929,693
533,168,921,717
557,122,979,716
567,81,998,730
553,50,1014,729
515,158,983,837
437,214,958,894
446,254,914,932
558,294,969,921
692,234,1072,811
775,273,1106,775
734,249,1054,717
754,314,1019,711
772,293,1020,653
771,335,988,660
698,321,909,647
700,327,916,648
744,282,964,611
715,360,975,742
747,273,1045,681
805,208,1117,657
779,145,1134,670
867,193,1180,670
843,150,1199,657
875,62,1280,637
902,104,1340,732
965,27,1416,670
907,47,1361,714
817,73,1295,770
703,178,1138,803
699,183,1086,737
650,232,965,703
647,254,933,650
571,247,840,642
468,335,740,706
480,349,727,688
336,373,603,711
330,363,602,722
491,406,747,737
682,296,917,629
724,280,985,635
