888,245,1144,873
878,262,1141,870
881,178,1137,811
869,313,1142,933
895,278,1173,912
803,293,1099,929
829,275,1131,916
823,234,1120,906
777,255,1100,901
819,245,1138,927
841,260,1131,945
795,276,1134,965
779,265,1127,975
767,263,1113,965
772,278,1107,942
786,268,1096,957
779,272,1104,962
806,272,1116,952
822,247,1121,934
847,235,1148,912
802,257,1106,937
810,262,1119,955
802,260,1104,952
789,267,1085,943
764,249,1061,909
771,235,1065,903
781,250,1071,904
778,254,1079,909
762,245,1062,911
737,198,1031,894
696,232,1016,909
698,204,1006,893
709,185,1020,878
730,209,1037,875
792,255,1071,881
836,121,1126,770
708,401,1024,1034
678,562,989,1075
698,509,1002,1070
764,529,1048,1073
824,299,1092,958
851,345,1103,940
789,362,1016,891
831,412,1036,866
851,439,1024,839
858,414,1013,775
881,429,1026,788
792,319,944,668
788,301,948,685
786,372,972,799
869,390,1109,886
910,370,1193,957
940,313,1276,942
972,316,1269,971
999,311,1285,930
965,283,1209,844
961,349,1195,862
976,357,1235,866
1041,78,1287,635
929,172,1190,745
893,217,1182,788
806,201,1071,776
689,126,1002,707
508,198,843,819
464,321,782,909
347,344,677,943
301,388,641,1011
