248,104,506,349
249,88,510,350
260,109,507,346
330,94,600,356
320,92,586,347
240,112,487,348
154,88,411,335
175,75,444,326
235,32,505,305
291,49,570,321
247,67,527,335
157,108,439,368
160,149,447,429
219,147,508,430
297,138,574,419
277,102,571,397
173,111,491,421
172,98,505,423
222,79,565,440
220,53,581,442
135,87,483,445
119,107,437,425
180,134,447,410
254,112,531,396
297,97,585,403
280,37,582,359
253,45,583,392
244,30,597,392
190,56,520,397
99,67,432,406
95,72,464,431
123,71,509,450
209,60,594,454
218,84,564,439
225,128,508,407
223,142,492,410
184,150,455,424
135,144,425,418
129,109,478,463
106,77,506,469
179,100,555,470
235,62,609,449
247,89,564,425
240,91,527,386
150,104,447,392
94,115,403,412
57,84,415,429
101,69,470,437
198,72,557,436
218,79,578,443
223,94,528,410
227,112,496,390
