860,319,1147,970
868,334,1148,975
876,344,1151,986
802,288,1090,942
812,267,1112,891
788,216,1096,852
754,191,1052,855
765,214,1055,868
754,178,1062,842
720,216,1010,863
692,208,1007,873
705,213,1023,911
720,220,1051,913
741,232,1062,945
747,268,1068,963
731,298,1065,1002
724,275,1057,965
731,263,1065,975
743,258,1074,991
695,278,1021,1025
677,291,1026,1040
696,239,1028,984
691,209,1043,968
708,242,1058,998
722,222,1045,983
722,222,1037,970
723,214,1038,962
737,216,1050,966
724,196,1064,958
719,222,1043,962
736,199,1059,937
740,176,1050,929
771,183,1099,950
741,165,1090,943
723,172,1088,948
715,182,1057,951
696,180,1044,950
709,152,1052,929
812,175,1155,911
882,41,1241,757
906,245,1244,909
827,486,1172,1078
817,444,1157,1076
781,370,1152,1024
786,432,1097,1030
820,460,1123,996
865,422,1121,952
893,394,1121,865
904,360,1123,794
860,349,1068,750
838,303,1030,694
914,285,1124,712
851,291,1092,780
677,206,965,755
543,201,900,809
516,160,906,837
585,121,964,860
622,58,1026,873
571,62,957,943
646,27,1047,922
858,152,1220,1021
788,70,1154,912
810,0,1155,845
872,8,1275,870
948,3,1368,929
1012,0,1431,898
972,3,1432,898
914,86,1323,1002
905,93,1282,906
886,47,1238,811
850,154,1210,832
879,173,1183,801
806,48,1090,699
577,31,919,750
527,206,905,911
534,231,906,930
