785,431,1171,534
778,431,1166,537
755,431,1152,547
734,416,1110,534
688,393,1010,478
716,427,1043,521
678,365,1076,470
634,370,1074,494
764,326,1207,437
1200,240,1655,372
1234,314,1701,460
1241,388,1762,535
1158,498,1649,624
709,488,1154,621
696,480,1113,591
720,437,1065,552
723,421,1043,506
674,431,976,508
662,403,962,499
1197,337,1530,421
1220,344,1556,434
1238,349,1590,445
1249,498,1615,604
1211,553,1596,676
1161,558,1523,667
651,570,1000,662
634,547,992,645
643,440,965,537
665,319,974,417
710,316,1010,408
695,326,1006,426
729,313,1033,411
1024,270,1347,370
1065,263,1386,355
1071,330,1423,438
1083,378,1513,504
1014,417,1363,524
913,376,1211,475
853,337,1116,417
833,339,1075,418
819,334,1057,403
550,335,803,411
533,334,775,411
516,288,765,352
522,281,771,357
1172,252,1447,339
1199,275,1482,363
1255,427,1528,517
1245,494,1517,585
1231,532,1504,616
747,599,999,681
906,435,1126,511
913,406,1127,480
903,445,1099,499
895,435,1090,496
914,421,1126,493
910,427,1165,514
929,486,1219,573
646,493,921,593
647,488,924,583
655,481,931,570
636,439,927,526
601,331,898,421
630,324,920,401
1016,214,1302,294
1072,226,1355,314
1104,372,1390,467
1100,529,1392,624
1076,562,1363,657
1116,542,1389,634
1169,553,1458,640
1126,465,1420,544
